job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
ea8187a7,mutag,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0009489908405077464,00002,e89c73b0,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,256,256,1vsAll,,,0.0,bce,0.0,,Adam,512,0.016289859169221,ReduceLROnPlateau,8,lp,1,0.004714602248474383,1.5302293865255622e-06,0,,,0.4840378286316991,0.13756089191883802,0.2,0.3,xavier_uniform_,0.004717996825882204,-0.6822958061070368,0.0006340407234228158,0.00012084105401299894,0.00024168210802599788,0.000765326723922044,0.0007273451899537185,0.00012084105401299894,0.0003222428204026073,0.000765326723922044,0.0009489908405077464,0.00012084105401299894,0.0003222428204026073,0.0011278499150648713
ea8187a7,mutag,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.021022230249882937,00003,d1a00cf6,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,128,128,1vsAll,,,0.0,bce,0.0,,Adam,128,0.0022520623944957707,ReduceLROnPlateau,6,,2,7.599943802411532e-15,4.774237362547718e-10,0,,,-0.4691867446526885,-0.35670591425150633,0.2,0.3,uniform_,0.06847898543924298,-0.23636003826153462,0.017050857808235946,0.004028035327792168,0.011681302450597286,0.037460729479789734,0.01907815259440078,0.00511560495942831,0.013775880448520184,0.04072343558073044,0.021022230249882937,0.0053572868928313255,0.01538709457963705,0.04366390034556389
ea8187a7,mutag,complex,1,search,1vsAll,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.23012375115176628,00000,f0c83b70,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,256,256,1vsAll,,,0.0,bce,0.0,,Adam,512,0.0559961813633257,ReduceLROnPlateau,5,lp,3,2.1718787318241999e-13,2.9377665716486074e-05,0,,,0.025142960250377655,-0.010118830017745495,0.2,0.3,xavier_uniform_,0.0019321622209343304,-0.07811903927515251,0.16715704585162733,0.08217191696166992,0.22963829338550568,0.2956980764865875,0.22336803999587126,0.1804559826850891,0.2438572496175766,0.30443891882896423,0.23012375115176628,0.18984130024909973,0.24720051884651184,0.3068557381629944
ea8187a7,mutag,complex,1,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.16644700632023887,00005,f6bdf9fb,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,256,256,1vsAll,,,0.0,bce,0.0,,Adam,1024,0.4187116566890732,ReduceLROnPlateau,10,,2,3.390107985363295e-06,0.00046608954176831846,0,,,-0.02189234271645546,0.4802399380132556,0.2,0.3,xavier_uniform_,0.00013312033366580552,-0.5071487147391773,0.1426265086250302,0.09993555396795273,0.16430355608463287,0.2279062420129776,0.1625944011727876,0.1301458179950714,0.1766696274280548,0.22992025315761566,0.16644700632023887,0.1352614164352417,0.1796906590461731,0.23016193509101868
ea8187a7,mutag,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0008552199855181516,00006,886d2e19,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,128,128,1vsAll,,,0.0,bce,0.0,,Adagrad,256,0.004998079758153902,ReduceLROnPlateau,2,lp,1,5.082225612925351e-20,2.6363593995076824e-15,1,,,0.33047778625041246,-0.20440021716058254,0.2,0.3,xavier_normal_,0.054217109919167554,-0.3320635789860319,0.00019958137764819708,0.0,0.0,0.00016112141020130366,0.0004022202291621561,0.0,0.0,0.00040280353277921677,0.0008552199855181516,0.0,0.00016112141020130366,0.0007250463240779936
ea8187a7,mutag,complex,1,search,1vsAll,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.16339454045468965,00001,9638ae3a,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,128,128,1vsAll,,,0.0,bce,0.0,,Adagrad,256,0.14162703400233911,ReduceLROnPlateau,0,,2,5.02700693582018e-18,4.680829572859134e-19,1,,,-0.16762414947152138,-0.4280645530670881,0.2,0.3,uniform_,1.907079605100886e-05,-0.4785089367289561,0.12633994122530312,0.07113510370254517,0.16341738402843475,0.2192862331867218,0.15859946752837248,0.12498993426561356,0.17461532354354858,0.22218643128871918,0.16339454045468965,0.13038749992847443,0.17767663300037384,0.22472408413887024
ea8187a7,mutag,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0009730243859567276,00007,8398320b,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,128,128,1vsAll,,,0.0,bce,0.0,,Adagrad,512,0.00045298662183279224,ReduceLROnPlateau,9,lp,1,2.738366096093651e-07,6.380101182122245e-20,1,,,-0.11676550004631281,0.023246558383107185,0.2,0.3,xavier_uniform_,0.0005432807676811346,-0.9838009923112206,0.0002689677146039462,0.0,8.056070510065183e-05,0.00024168210802599788,0.00047549453873028545,0.0,0.00012084105401299894,0.00048336421605199575,0.0009730243859567276,4.0280352550325915e-05,0.00024168210802599788,0.0005236445576883852
ea8187a7,mutag,complex,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.18271525284731732,00008,beb798be,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,512,512,1vsAll,,,0.0,bce,0.0,,Adam,256,0.08248979899163007,ReduceLROnPlateau,2,lp,2,2.7980137803060014e-11,1.3134489645092096e-08,0,,,0.3003667425364256,-0.2942189695313573,0.2,0.3,xavier_normal_,0.22084935601201414,-0.1838439968377258,0.13684320999154112,0.07637155055999756,0.18246999382972717,0.23088698089122772,0.17658538191437403,0.14525094628334045,0.19189560413360596,0.2322162389755249,0.18271525284731732,0.1539515107870102,0.19463466107845306,0.23245792090892792
ea8187a7,mutag,complex,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.010214621598355806,00010,fdc5ebbc,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,256,256,1vsAll,,,0.0,bce,0.0,,Adam,256,0.008722202176919972,ReduceLROnPlateau,4,lp,3,0.012214154200593283,1.4275594046916262e-05,0,,,0.19291629921644926,0.4177547814324498,0.2,0.3,xavier_uniform_,4.9394778753630316e-05,-0.5716961612211913,0.003349701557114863,0.0005236445576883852,0.00237654079683125,0.006404575891792774,0.0042055631388802,0.0011278499150648713,0.002940465696156025,0.007210182957351208,0.010214621598355806,0.005075324326753616,0.008056070655584335,0.01804559864103794
ea8187a7,mutag,complex,0,search,1vsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0038272990118647663,00011,0df04671,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/mutag/complex-1vsAll-bce,128,128,1vsAll,,,0.0,bce,0.0,,Adam,512,0.0012035456299443444,ReduceLROnPlateau,1,,2,1.369337429279012e-14,0.057864925198368375,0,,,-0.19762504193931818,-0.07262985873967409,0.2,0.3,normal_,0.0014722429663406177,-0.001738732546502697,0.00022509145494684017,0.0,4.0280352550325915e-05,0.00016112141020130366,0.00043030049446884694,0.0,4.0280352550325915e-05,0.00040280353277921677,0.0038272990118647663,0.002215419430285692,0.002537662163376808,0.0053572868928313255
