job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
42ef300b,aifb,complex,1,search,1vsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.4855855161493475,00002,0946c6a3,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/complex-1vsAll-kl-bo-best,512,512,1vsAll,,,0.0,kl,nan,,Adam,1024,0.0005009753817402775,ReduceLROnPlateau,9,,2,2.4030465363618395e-19,6.431595725399587e-09,1,,,-0.2611020877957344,0.47931317891925573,0.2,0.3,xavier_normal_,0.20341898306185932,-0.6166518425668217,0.22043672474947842,0.11958452314138412,0.271484375,0.4193004369735718,0.378609917380593,0.2990056872367859,0.42018821835517883,0.5277876853942871,0.4855855161493475,0.42631393671035767,0.5164240002632141,0.5988991856575012
42ef300b,aifb,complex,1,search,1vsAll,valid,170,,,,mean_reciprocal_rank_filtered_with_test,0.4841071909124201,00001,946f94d7,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/complex-1vsAll-kl-bo-best,512,512,1vsAll,,,0.0,kl,nan,,Adam,1024,0.0005009753817402775,ReduceLROnPlateau,9,,2,2.4030465363618395e-19,6.431595725399587e-09,1,,,-0.2611020877957344,0.47931317891925573,0.2,0.3,xavier_normal_,0.20341898306185932,-0.6166518425668217,0.2199029488997026,0.11887429654598236,0.2721058428287506,0.42143112421035767,0.37713501670143823,0.2970525622367859,0.42116478085517883,0.5238814353942871,0.4841071909124201,0.4288884997367859,0.5114524364471436,0.5929509997367859
42ef300b,aifb,complex,1,search,1vsAll,valid,245,,,,mean_reciprocal_rank_filtered_with_test,0.48606408726085315,00000,e266f4bb,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/complex-1vsAll-kl-bo-best,512,512,1vsAll,,,0.0,kl,nan,,Adam,1024,0.0005009753817402775,ReduceLROnPlateau,9,,2,2.4030465363618395e-19,6.431595725399587e-09,1,,,-0.2611020877957344,0.47931317891925573,0.2,0.3,xavier_normal_,0.20341898306185932,-0.6166518425668217,0.2203312353654341,0.11887429654598236,0.27104049921035767,0.4216974675655365,0.37728660756891425,0.29714134335517883,0.41867899894714355,0.5266335606575012,0.48606408726085315,0.42942118644714355,0.5113636255264282,0.595703125
42ef300b,aifb,complex,1,search,1vsAll,valid,270,,,,mean_reciprocal_rank_filtered_with_test,0.4860516461459073,00003,403ad517,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/complex-1vsAll-kl-bo-best,512,512,1vsAll,,,0.0,kl,nan,,Adam,1024,0.0005009753817402775,ReduceLROnPlateau,9,,2,2.4030465363618395e-19,6.431595725399587e-09,1,,,-0.2611020877957344,0.47931317891925573,0.2,0.3,xavier_normal_,0.20341898306185932,-0.6166518425668217,0.220139741897583,0.11949574202299118,0.2706853747367859,0.4207209050655365,0.37631737102161755,0.2966974377632141,0.41796875,0.5245916247367859,0.4860516461459073,0.42844462394714355,0.5131392478942871,0.59765625
42ef300b,aifb,complex,1,search,1vsAll,valid,185,,,,mean_reciprocal_rank_filtered_with_test,0.4864743406122381,00004,16c27c29,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/complex-1vsAll-kl-bo-best,512,512,1vsAll,,,0.0,kl,nan,,Adam,1024,0.0005009753817402775,ReduceLROnPlateau,9,,2,2.4030465363618395e-19,6.431595725399587e-09,1,,,-0.2611020877957344,0.47931317891925573,0.2,0.3,xavier_normal_,0.20341898306185932,-0.6166518425668217,0.22137446836991745,0.12029474973678589,0.27272728085517883,0.42143112421035767,0.3789657679471103,0.29909446835517883,0.4203657805919647,0.5275213122367859,0.4864743406122381,0.42942118644714355,0.5114524364471436,0.5977450609207153
fef6a303,aifb,conve,1,search,1vsAll,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.48434309525923297,00003,98498038,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/conve-1vsAll-kl-bo-best,288,288,1vsAll,,,0.0,kl,nan,,Adagrad,256,0.07954143651463838,ReduceLROnPlateau,4,lp,1,3.2758801064411993e-12,3.2854574459783884e-13,1,,,0.3246727833328654,0.11339541910274253,0.22391407216035986,0.43867173682699095,xavier_normal_,0.00011070339794227587,-0.8547468908681677,0.2234885042363947,0.12455610930919647,0.27334871888160706,0.4191228747367859,0.37303183295510034,0.2939453125,0.41237571835517883,0.5224609375,0.48434309525923297,0.43057531118392944,0.5085227489471436,0.5890447497367859
fef6a303,aifb,conve,1,search,1vsAll,valid,305,,,,mean_reciprocal_rank_filtered_with_test,0.47401025078513404,00002,8827e499,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/conve-1vsAll-kl-bo-best,288,288,1vsAll,,,0.0,kl,nan,,Adagrad,256,0.07954143651463838,ReduceLROnPlateau,4,lp,1,3.2758801064411993e-12,3.2854574459783884e-13,1,,,0.3246727833328654,0.11339541910274253,0.22391407216035986,0.43867173682699095,xavier_normal_,0.00011070339794227587,-0.8547468908681677,0.2191011688926003,0.11869673430919647,0.2716619372367859,0.41574931144714355,0.36901786110617896,0.28897371888160706,0.41184306144714355,0.5192649364471436,0.47401025078513404,0.41512784361839294,0.5035511255264282,0.5866477489471436
fef6a303,aifb,conve,1,search,1vsAll,valid,330,,,,mean_reciprocal_rank_filtered_with_test,0.4652463306080211,00000,8d8908a3,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/conve-1vsAll-kl-bo-best,288,288,1vsAll,,,0.0,kl,nan,,Adagrad,256,0.07954143651463838,ReduceLROnPlateau,4,lp,1,3.2758801064411993e-12,3.2854574459783884e-13,1,,,0.3246727833328654,0.11339541910274253,0.22391407216035986,0.43867173682699095,xavier_normal_,0.00011070339794227587,-0.8547468908681677,0.22116212411360306,0.12047230452299118,0.2745916247367859,0.41823509335517883,0.3723573251204057,0.2934126555919647,0.41397374868392944,0.5212180614471436,0.4652463306080211,0.4074041247367859,0.4908558428287506,0.5815873742103577
fef6a303,aifb,conve,1,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.46570431102405896,00001,fac73b2a,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/conve-1vsAll-kl-bo-best,288,288,1vsAll,,,0.0,kl,nan,,Adagrad,256,0.07954143651463838,ReduceLROnPlateau,4,lp,1,3.2758801064411993e-12,3.2854574459783884e-13,1,,,0.3246727833328654,0.11339541910274253,0.22391407216035986,0.43867173682699095,xavier_normal_,0.00011070339794227587,-0.8547468908681677,0.22079951112920587,0.11949574202299118,0.27352628111839294,0.4181463122367859,0.3712426098910245,0.2919921875,0.412109375,0.5213068127632141,0.46570431102405896,0.40775924921035767,0.490234375,0.5783025622367859
fef6a303,aifb,conve,1,search,1vsAll,valid,325,,,,mean_reciprocal_rank_filtered_with_test,0.48536699468439276,00004,3c96f2fa,/home/ciupecvictor/kge-iclr20/config_files/iclr2020/aifb/conve-1vsAll-kl-bo-best,288,288,1vsAll,,,0.0,kl,nan,,Adagrad,256,0.07954143651463838,ReduceLROnPlateau,4,lp,1,3.2758801064411993e-12,3.2854574459783884e-13,1,,,0.3246727833328654,0.11339541910274253,0.22391407216035986,0.43867173682699095,xavier_normal_,0.00011070339794227587,-0.8547468908681677,0.22038743712685324,0.12002841383218765,0.27352628111839294,0.41850143671035767,0.3713064627213912,0.29030540585517883,0.41432884335517883,0.5220170617103577,0.48536699468439276,0.4301314055919647,0.5118075609207153,0.5895774364471436
